File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD11A2_006_Day_view_time_doy2018177_aid0001,Day_view_time,aid0001,2018-06-26,477503.0,10.0,11.9,"(10.0,11.9)",10.9808,0.1158,0.0134,11.1,11.4,11.0,10.6,10.9
MOD11A2_006_Day_view_time_doy2018185_aid0001,Day_view_time,aid0001,2018-07-04,477354.0,10.0,11.9,"(10.0,11.9)",11.0043,0.1138,0.013,11.1,11.4,11.0,10.6,10.9
MOD11A2_006_Day_view_time_doy2018193_aid0001,Day_view_time,aid0001,2018-07-12,476885.0,10.0,11.8,"(10.0,11.8)",10.9576,0.1831,0.0335,11.1,11.5,11.0,10.4,10.8
MOD11A2_006_Day_view_time_doy2018201_aid0001,Day_view_time,aid0001,2018-07-20,477178.0,10.0,11.9,"(10.0,11.9)",11.0461,0.1101,0.0121,11.1,11.2,11.1,10.9,11.0
MOD11A2_006_Day_view_time_doy2018209_aid0001,Day_view_time,aid0001,2018-07-28,476920.0,10.1,11.8,"(10.1,11.8)",10.9211,0.1537,0.0236,11.0,11.3,10.9,10.5,10.8
MOD11A2_006_Day_view_time_doy2018217_aid0001,Day_view_time,aid0001,2018-08-05,477548.0,10.0,11.9,"(10.0,11.9)",11.005,0.0908,0.0082,11.1,11.4,11.0,10.6,10.9
MOD11A2_006_Day_view_time_doy2018225_aid0001,Day_view_time,aid0001,2018-08-13,477205.0,10.0,11.9,"(10.0,11.9)",10.9711,0.1367,0.0187,11.1,11.4,11.0,10.6,10.9
MOD11A2_006_Day_view_time_doy2018233_aid0001,Day_view_time,aid0001,2018-08-21,475657.0,10.1,11.9,"(10.1,11.9)",10.995,0.1014,0.0103,11.1,11.4,11.0,10.6,10.9
MOD11A2_006_Day_view_time_doy2018241_aid0001,Day_view_time,aid0001,2018-08-29,477270.0,10.0,11.8,"(10.0,11.8)",11.0146,0.1146,0.0131,11.1,11.2,11.0,10.9,11.0
MOD11A2_006_Day_view_time_doy2018249_aid0001,Day_view_time,aid0001,2018-09-06,477471.0,10.0,11.9,"(10.0,11.9)",10.9942,0.0956,0.0091,11.1,11.4,11.0,10.6,10.9
