File,aid,Date,2057,2058,2061,2062,2065,2066,2111,2112,2114,2116,2118,2120,2122,2175,2181,2182,2185,2186,2189,2190,2239,2253,2254,2257,2258,2261,2262,2303,2317,2318,2321,2322,2325,2326,2367,2372,2374,2376,2378,2380,2382,2441,2442,2445,2446,2449,2450,2495,2513,2514,2517,2518,2521,2522,2559,3094,3098,3102,3135,3150,3154,3158,3199,3218,3222,3226,3263,3290,3294,3298,3354,3358,3362,3391,3410,3414,3418,3455,3478,3482,3486,3519,3550,3554,3558,3583,4105,4106,4109,4110,4113,4114,4159,4160,4162,4164,4166,4168,4170,4223,4229,4230,4233,4234,4237,4238,4287,4301,4302,4305,4306,4309,4310,4351,4365,4366,4369,4370,4373,4374,4415,5142,5146,5150,5183,5198,5202,5206,5247,5266,5270,5274,5311,5338,5342,5346,5402,5406,5410,5439,6153,6154,6157,6158,6161,6162,6207,6208,6210,6212,6214,6216,6218,6271,6277,6278,6281,6282,6285,6286,6335,6349,6350,6353,6354,6357,6399,6413,6414,6417,6418,6421,6422,6463,6468,6472,6527,6537,6541,6545,6591,6609,6613,6617,6655,7190,7194,7198,7231,7246,7250,7254,7295,7314,7318,7322,7359,7386,7390,7394,7423,7450,7454,7458,7487,7646,7650,7679,18445,18446,18449,18450,18453,18454,18495,18500,18504,18508,18559,18569,18573,18577,18641,18645,18649,18702,18705,18706,18709,18713,18751,18760,18764,18768,18829,18833,18837,18901,18905,18909,18943,19478,19482,19486,19490,19519,19606,19738,19742,19746,19750,19798,20493,20494,20497,20498,20501,20502,20543,20548,20552,20556,20617,20621,20625,20689,20693,20697,20750,20753,20757,20761,20799,21530,21534,21538,21790,21794,21798,22541,22542,22545,22546,22549,22550,22591,22596,22600,22604,22665,22669,22673,22719,22737,22741,22745,22801,22805,22809,22810,22847,23005,23574,23578,23582,23586,23615,23638,23838,23842,23846,23871,34833,34834,34837,34838,34841,34842,34888,34892,34896,34898,34957,34958,34961,34962,34965,34966,35007,35029,35030,35033,35034,35037,35038,35089,35090,35093,35094,35097,35098,35101,35102,35135,35144,35148,35152,35154,35156,35158,35213,35217,35218,35221,35222,35225,35226,35263,35285,35289,35290,35293,35294,35297,35298,35870,35874,35878,35926,35930,35934,35994,35998,36002,36066,36070,36074,36122,36126,36130,36134,36138,36186,36190,36194,36250,36254,36258,36262,36326,36330,36334,36351,36881,36882,36885,36886,36889,36890,36936,36940,36944,37005,37009,37013,37014,37055,37077,37081,37085,37086,37119,37137,37138,37141,37142,37145,37146,37149,37150,37183,37192,37196,37261,37265,37269,37918,37922,37926,37974,37978,37982,38042,38046,38050,38079,38114,38118,38122,38143,38174,38178,38182,38186,38207,38929,38933,38934,38937,38938,38975,38984,38988,38992,39039,39053,39057,39061,39103,39125,39129,39133,39167,39185,39189,39190,39193,39194,39197,39198,39231,39244,39248,39295,39313,39317,39321,39359,39385,39389,39393,39423,39966,39970,39974,39999,40026,40030,40063,40090,40094,40098,40162,40166,40191,40222,40226,40230,40234,40255,40422,40426,40430,40447,51199,51221,51225,51229,51263,51280,51284,51345,51349,51353,51417,51421,51425,51473,51477,51481,51482,51485,51489,51519,51540,51544,51597,51601,51605,51609,51613,51669,51673,51677,51681,51685,51711,52258,52262,52510,52514,52518,52522,52526,53269,53273,53277,53311,53332,53393,53397,53401,53469,53473,53521,53525,53529,53533,53537,53567,54562,54570,55317,55321,55325,55326,55359,55372,55449,55487,55573,55577,55581,55585,55586,55615,56354,56358,56362,56383,56614,56618,56622,56639,63487
_1_km_16_days_VI_Quality_2018177_aid0001,aid0001,2018-06-26,33,6123,360,456,,,,379976,,26074,,,,,16376,,3776,,,,,1405,,520,,,,,167,,130,,,,,2057,,624,,,,1458,,622,,,,,541,,189,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,11,272,67,140,,,2.0,23236,,4934,,,,20.0,757,,1017,,,,1,160.0,,282,,,,1.0,356,,220,,,,3.0,3,9,,,1.0,2.0,,,2.0,2.0,,,1.0,2.0,,,,,,155,70,58,22,,,283,3164,,809,,,,584,113,,70,,,,202,13.0,,27.0,,,3.0,45,,22,,,,11,,,9.0,2.0,,,1.0,,,,,6.0,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,,,14,,29,,,,,7,,22.0,,,,,,9,,2,,,,,2.0,19,7,,,,1.0,72,,80,,,,,,41.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,2,3,,,,3.0,13.0,,,,,,27,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,1.0,,3.0,,,2.0,1.0,,,,,,,,38,,7,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726
_1_km_16_days_VI_Quality_2018193_aid0001,aid0001,2018-07-12,252,5880,930,409,,,,355440,17.0,29665,7.0,,,,30391,,7594,,,,1.0,2587,,935,,,,,274,,145,,,,,2385,,439,,,,2044,,778,,,,,628,,136,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,19,787,110,294,,,2.0,20708,,4056,1.0,,,8.0,1324,,1337,,,,4,224.0,,151,,,,,1165,,356,,,,,62,46,,,2.0,8.0,,,,5.0,,1.0,2.0,2.0,,3.0,3.0,,,153,115,53,21,,,245,2823,,901,2.0,,,416,97,,132,,,,358,33.0,,26.0,2.0,,10.0,66,,27,,,,6,,,7.0,,,,14.0,1.0,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,35.0,,,,46,219,,,63,,76,,,,,58,,61.0,,,,2.0,,16,,20,,,,,3.0,37,53,,,,3.0,125,,94,,,,,6.0,77.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,40,9,,17,27,,,,10.0,18.0,,,,,,108,,82,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,,,,8.0,4.0,2.0,,9.0,3.0,3.0,,6.0,1.0,,,2.0,1.0,16,,4,,,,5.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,13799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3713
_1_km_16_days_VI_Quality_2018209_aid0001,aid0001,2018-07-28,17,5185,1148,591,,,,303118,25.0,34232,,,,,68232,5.0,11413,,,,,10538,,1747,1.0,,,,125,,204,,,,,1610,,667,,,,1772,,650,,,,,423,,119,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,510,66,154,,,2.0,15714,,3643,,,,,5464,1.0,1852,1.0,,,2,1217.0,2.0,802,,,,,687,,379,,,,4.0,32,10,,,1.0,,,,,13.0,,,,13.0,,3.0,2.0,,,76,380,56,156,,,597,1415,,396,,,,152,738,,216,,,,69,577.0,,243.0,1.0,,10.0,152,,79,,,,13,,,3.0,,2.0,,18.0,8.0,4.0,,8.0,16.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1,53,,,20,,31,,,,,34,,16.0,,,,,,4,,34,,,,,,13,20,,,,1.0,87,,29,,,,,2.0,27.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,11,7,,,,31.0,36.0,,,1.0,,,74,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,8.0,,,,1.0,6.0,4.0,,,12.0,9.0,,8.0,1.0,49,,25,,,,13.0,,,,,,,1.0,8.0,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,13802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3749
_1_km_16_days_VI_Quality_2018225_aid0001,aid0001,2018-08-13,86,4591,1077,301,,,,353977,6.0,28837,,,,,37281,,6625,,,,3.0,2903,,621,,,,,131,,60,,,,1.0,2318,,375,,,,1343,,428,,,,,247,2.0,61,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,2.0,,,,5,750,70,304,,,2.0,21307,,1946,1.0,,,3.0,2745,,1403,,,,4,622.0,,709,,,,2.0,681,1.0,392,1.0,,,3.0,57,37,,,,,,,,,,,,29.0,,13.0,6.0,,,159,138,24,18,,,357,2757,,366,,,,259,369,,133,,,,574,154.0,,108.0,,,36.0,157,,24,,,,20,,,,2.0,,,8.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,15.0,,,,27,21,,,36,,26,,,,,11,,14.0,,,,1.0,,6,,1,,,,,3.0,22,4,,,,2.0,64,,17,,,,,,22.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,12,3,,21,12,,,,10.0,24.0,,,,,,78,,35,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,3.0,2.0,,,,,2.0,2.0,,3.0,,1.0,,4.0,2.0,2.0,,,1.0,21,,2,,,,4.0,,,1.0,1.0,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,13795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735
_1_km_16_days_VI_Quality_2018241_aid0001,aid0001,2018-08-29,23,3482,719,374,,,,386740,,27831,,,,,12954,,4079,,,,1.0,655,,466,,,,,61,,53,,,,,1914,,270,,,,844,,260,,,,,61,,32,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,207,44,95,,,3.0,24212,,4562,,,,16.0,1106,,592,,,,4,113.0,,60,,,,2.0,442,,202,,,,3.0,6,5,,,3.0,1.0,,,3.0,,,,,,,,2.0,,,134,94,34,11,,,157,3123,,466,,,,1077,172,,64,,,,160,,,82.0,,,4.0,106,,31,,,,17,1.0,,5.0,1.0,2.0,,1.0,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,24,11,,,11,,20,,,,,4,,9.0,,,,,,3,,10,,,,,,22,7,,,,2.0,37,,21,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,7,16,,,,8.0,5.0,,,1.0,,,31,,8,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,7,,2,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3751
_1_km_16_days_VI_Quality_2018257_aid0001,aid0001,2018-09-14,18,3161,680,193,,,,401288,,19700,,,,,8937,,2931,,,,,590,,277,,,,,109,,77,,,,,1805,,249,,,,694,,240,,,,,37,,10,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,154,161,40,,,,26887,,2641,,,,32.0,714,,487,,,,4,8.0,,1,,,,,330,,80,,,,,19,3,,,11.0,,,,3.0,2.0,,1.0,,,,1.0,,,,133,113,30,35,,,311,3116,,639,,,,887,33,,47,,,,152,,,19.0,,,23.0,99,,32,,,,6,3.0,,9.0,2.0,1.0,,,,,,,,1.0,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,53,13,,,11,,14,,,,,7,,,,,,,,17,,1,,,,,1.0,18,1,,,,,34,,6,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2,19,,6,5,,,,1.0,7.0,,,,,,23,,5,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,2.0,,,,3.0,,,,3.0,1.0,3.0,,1.0,,2.0,,,,13,,2,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3721
_1_km_16_days_VI_Quality_2018273_aid0001,aid0001,2018-09-30,373,4214,1498,341,,,,332015,,75123,,,,1.0,10278,,3060,,,,,1550,,386,,,,,385,,137,,,,,4459,,276,,,,1701,,353,,,,,175,,47,,,,,,7.0,,,7.0,46.0,,,,13.0,,,,7.0,,,,,,,,,,,,,,,,,,18,203,70,57,,,2.0,21263,,11491,,,,21.0,745,,737,1.0,,,6,61.0,,158,,,,,594,1.0,136,,,,6.0,11,11,,,19.0,26.0,,3.0,5.0,27.0,,,,32.0,,2.0,3.0,,1.0,39,114,222,45,,,140,2151,36.0,1325,18.0,,,626,77,,110,2.0,,,116,,,10.0,,,,127,8.0,93,,,,22,5.0,,12.0,2.0,2.0,,11.0,,,,,25.0,8.0,,3.0,25.0,25.0,,1.0,,11.0,,1.0,,8.0,,,29.0,2.0,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,9.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,18.0,4.0,,,,,,,,,,,,,,8.0,4.0,,,,,,,1.0,,,,,,,,2.0,,2.0,,,,80,36,,,69,,14,,,,,23,,25.0,,,,,,18,,9,,,,,5.0,68,13,,,,2.0,168,,49,,,,,4.0,32.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,15,20,,17,15,,,,1.0,1.0,,,,,,46,,12,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,10.0,,,,13.0,8.0,10.0,,11.0,1.0,,,9.0,,1.0,,2.0,,26,,12,,,,12.0,,,4.0,,,,5.0,,3.0,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,,13759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3790
_1_km_16_days_VI_Quality_2018289_aid0001,aid0001,2018-10-16,142,3730,1473,371,,,,397007,,17629,,,,1.0,10208,,3132,,,,,1137,,390,,,,,487,,129,,,,,2766,,230,,,,1145,,344,,,,,142,,31,,,,,,,,1.0,20.0,1.0,,,,6.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,6,235,144,91,,,1.0,25500,,3460,3.0,,,19.0,693,,830,5.0,,,10,28.0,,59,,,,1.0,378,,218,,,,1.0,15,4,,,16.0,13.0,,,6.0,37.0,,,,6.0,,1.0,3.0,,,76,185,31,54,,,278,2984,3.0,429,8.0,,,515,67,,75,,,,339,,,1.0,,,,91,13.0,19,1.0,,,13,,,8.0,1.0,,,1.0,,,,,35.0,7.0,,1.0,265.0,21.0,,3.0,20.0,6.0,,1.0,,,,,5.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,55.0,,,,,,1.0,,,,,,,,,,17.0,,,,,,2.0,,,,,,,,,3.0,,8.0,,,,46,27,,,32,,33,,,,,17,,7.0,,,,,,16,,4,,,,,1.0,12,11,,,,3.0,70,,21,,,,,1.0,25.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,7,22,,11,15,,,,1.0,12.0,,,,,,40,,23,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,7.0,,,,,1.0,3.0,12.0,,,,,,,,,,,,21,,14,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,13933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,3699
_1_km_16_days_VI_Quality_2018305_aid0001,aid0001,2018-11-01,351,3469,2701,328,,9.0,,398140,19.0,12592,2.0,57.0,4.0,,12683,1.0,3656,2.0,,,,1161,,437,,,2.0,,608,,287,,,,,2031,,110,,,,1187,,343,,,,,102,,43,,,,,2.0,14.0,1.0,,698.0,55.0,,,24.0,36.0,,,15.0,10.0,,,,,,1.0,,,,,,,,1.0,,,,26,187,211,34,,12.0,,26395,,1333,,41.0,3.0,48.0,874,3.0,1034,6.0,13.0,,7,169.0,3.0,103,2.0,,,,409,2.0,91,3.0,,6.0,,9,8,5.0,,104.0,29.0,1.0,2.0,19.0,44.0,2.0,1.0,21.0,20.0,,29.0,4.0,,1.0,328,247,106,49,1.0,2.0,274,2791,,233,2.0,16.0,,583,84,,110,3.0,,,106,8.0,,39.0,3.0,,1.0,132,,46,,,1.0,7,,,4.0,2.0,,,3.0,,1.0,,,31.0,6.0,1.0,2.0,32.0,4.0,4.0,4.0,,8.0,,2.0,,,,,10.0,2.0,,,,,,,1.0,,,,,,5.0,,,,,,,3.0,,,,4.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,194.0,1.0,29.0,,13.0,,5.0,9.0,1.0,,,,,,,,,28.0,4.0,1.0,,,,,,,,,,,,,,,,18.0,,,,27,23,1.0,,28,,21,,,,,8,,1.0,,,,,,4,,14,,,,,,6,6,,,,2.0,65,,27,,,,,,13.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,9,5,,4,5,,,,8.0,3.0,,,,1.0,,25,9.0,6,,,6.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,7.0,1.0,,,10.0,6.0,,1.0,,10.0,,8.0,,2.0,4.0,2.0,,1.0,1.0,,,,,27,,5,,,,7.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,3.0,,,,13897,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,2.0,,,,7.0,4.0,,,,,,,,,,,,3661
