File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A2_006__1_km_16_days_EVI_doy2018177_aid0001,_1_km_16_days_EVI,aid0001,2018-06-26,477458.0,-0.1966,0.8589,"(-0.1966,0.8589)",0.2237,0.1374,0.0189,0.3209,0.6485,0.1992,-0.1966,0.1025
MOD13A2_006__1_km_16_days_EVI_doy2018193_aid0001,_1_km_16_days_EVI,aid0001,2018-07-12,477492.0,-0.1561,0.8627,"(-0.1561,0.8627)",0.2169,0.1336,0.0178,0.3076,0.6148,0.1923,-0.1561,0.1028
MOD13A2_006__1_km_16_days_EVI_doy2018209_aid0001,_1_km_16_days_EVI,aid0001,2018-07-28,477662.0,-0.1173,0.835,"(-0.1173,0.835)",0.2111,0.1274,0.0162,0.2973,0.5893,0.1868,-0.1173,0.1026
MOD13A2_006__1_km_16_days_EVI_doy2018225_aid0001,_1_km_16_days_EVI,aid0001,2018-08-13,477318.0,-0.1122,0.8259,"(-0.1122,0.8259)",0.2034,0.1219,0.0149,0.285,0.5628,0.1814,-0.1122,0.0998
MOD13A2_006__1_km_16_days_EVI_doy2018241_aid0001,_1_km_16_days_EVI,aid0001,2018-08-29,477107.0,-0.1053,0.802,"(-0.1053,0.802)",0.1993,0.1163,0.0135,0.2783,0.5457,0.1792,-0.1053,0.1
MOD13A2_006__1_km_16_days_EVI_doy2018257_aid0001,_1_km_16_days_EVI,aid0001,2018-09-14,477137.0,-0.1133,0.7584,"(-0.1133,0.7584)",0.1887,0.1081,0.0117,0.2598,0.5038,0.1705,-0.1133,0.0971
MOD13A2_006__1_km_16_days_EVI_doy2018273_aid0001,_1_km_16_days_EVI,aid0001,2018-09-30,477552.0,-0.1068,0.7674,"(-0.1068,0.7674)",0.1865,0.1032,0.0106,0.2587,0.5006,0.1724,-0.1068,0.0974
MOD13A2_006__1_km_16_days_EVI_doy2018289_aid0001,_1_km_16_days_EVI,aid0001,2018-10-16,477311.0,-0.1057,0.7442,"(-0.1057,0.7442)",0.1776,0.0986,0.0097,0.2435,0.4676,0.162,-0.1057,0.0941
MOD13A2_006__1_km_16_days_EVI_doy2018305_aid0001,_1_km_16_days_EVI,aid0001,2018-11-01,477506.0,-0.1032,0.7988,"(-0.1032,0.7988)",0.1727,0.0937,0.0088,0.2335,0.4423,0.1578,-0.1032,0.0943
MOD13A2_006__1_km_16_days_EVI_doy2018321_aid0001,_1_km_16_days_EVI,aid0001,2018-11-17,477499.0,-0.1089,0.7834,"(-0.1089,0.7834)",0.1737,0.099,0.0098,0.2324,0.4409,0.1545,-0.1089,0.0934
MOD13A2_006__1_km_16_days_EVI_doy2018337_aid0001,_1_km_16_days_EVI,aid0001,2018-12-03,477482.0,-0.1098,0.7515,"(-0.1098,0.7515)",0.1737,0.1074,0.0115,0.2388,0.4707,0.1591,-0.1098,0.0842
MOD13A2_006__1_km_16_days_EVI_doy2018353_aid0001,_1_km_16_days_EVI,aid0001,2018-12-19,477972.0,-0.1163,0.795,"(-0.1163,0.795)",0.1759,0.1067,0.0114,0.2454,0.4852,0.1662,-0.1163,0.0855
MOD13A2_006__1_km_16_days_EVI_doy2019001_aid0001,_1_km_16_days_EVI,aid0001,2019-01-01,477554.0,-0.1283,0.81,"(-0.1283,0.81)",0.1775,0.1057,0.0112,0.2448,0.4777,0.1672,-0.1283,0.0895
MOD13A2_006__1_km_16_days_EVI_doy2019017_aid0001,_1_km_16_days_EVI,aid0001,2019-01-17,477654.0,-0.1559,0.8683,"(-0.1559,0.8683)",0.1864,0.1173,0.0137,0.2675,0.5375,0.1774,-0.1559,0.0875
MOD13A2_006__1_km_16_days_EVI_doy2019033_aid0001,_1_km_16_days_EVI,aid0001,2019-02-02,478083.0,-0.1533,0.9267,"(-0.1533,0.9267)",0.1778,0.1343,0.018,0.2657,0.5525,0.145,-0.1533,0.0745
MOD13A2_006__1_km_16_days_EVI_doy2019049_aid0001,_1_km_16_days_EVI,aid0001,2019-02-18,476281.0,-0.1422,0.8895,"(-0.1422,0.8895)",0.1908,0.1313,0.0172,0.2801,0.5729,0.172,-0.1422,0.0849
MOD13A2_006__1_km_16_days_EVI_doy2019065_aid0001,_1_km_16_days_EVI,aid0001,2019-03-06,477579.0,-0.1822,0.9611,"(-0.1822,0.9611)",0.2127,0.1387,0.0192,0.301,0.5996,0.1999,-0.1822,0.1019
MOD13A2_006__1_km_16_days_EVI_doy2019081_aid0001,_1_km_16_days_EVI,aid0001,2019-03-22,477607.0,-0.1997,0.8972,"(-0.1997,0.8972)",0.2233,0.1385,0.0192,0.318,0.6309,0.2101,-0.1997,0.1094
MOD13A2_006__1_km_16_days_EVI_doy2019097_aid0001,_1_km_16_days_EVI,aid0001,2019-04-07,478103.0,-0.1996,0.8562,"(-0.1996,0.8562)",0.232,0.1387,0.0192,0.3339,0.6621,0.2218,-0.1996,0.1151
MOD13A2_006__1_km_16_days_EVI_doy2019113_aid0001,_1_km_16_days_EVI,aid0001,2019-04-23,478104.0,-0.1998,0.9164,"(-0.1998,0.9164)",0.2301,0.1326,0.0176,0.3339,0.6595,0.2244,-0.1998,0.1166
MOD13A2_006__1_km_16_days_EVI_doy2019129_aid0001,_1_km_16_days_EVI,aid0001,2019-05-09,477894.0,-0.1992,0.8197,"(-0.1992,0.8197)",0.2293,0.1317,0.0173,0.3295,0.6506,0.2213,-0.1992,0.1151
MOD13A2_006__1_km_16_days_EVI_doy2019145_aid0001,_1_km_16_days_EVI,aid0001,2019-05-25,477517.0,-0.2,0.907,"(-0.2,0.907)",0.2269,0.1328,0.0176,0.3217,0.6325,0.2142,-0.1963,0.1145
MOD13A2_006__1_km_16_days_EVI_doy2019161_aid0001,_1_km_16_days_EVI,aid0001,2019-06-10,478047.0,-0.1997,0.8402,"(-0.1997,0.8402)",0.2281,0.1284,0.0165,0.3221,0.6258,0.2167,-0.184,0.1196
