File,aid,Date,0,1,2,3
_1_km_16_days_pixel_reliability_2018177_aid0001,aid0001,2018-06-26,440950,29389,,7119
_1_km_16_days_pixel_reliability_2018193_aid0001,aid0001,2018-07-12,416830,52944,,7718
_1_km_16_days_pixel_reliability_2018209_aid0001,aid0001,2018-07-28,360914,109637,,7111
_1_km_16_days_pixel_reliability_2018225_aid0001,aid0001,2018-08-13,411979,59060,,6279
_1_km_16_days_pixel_reliability_2018241_aid0001,aid0001,2018-08-29,449208,23611,,4288
_1_km_16_days_pixel_reliability_2018257_aid0001,aid0001,2018-09-14,456435,16949,1.0,3752
_1_km_16_days_pixel_reliability_2018273_aid0001,aid0001,2018-09-30,448364,23719,50.0,5419
_1_km_16_days_pixel_reliability_2018289_aid0001,aid0001,2018-10-16,450148,21869,90.0,5204
_1_km_16_days_pixel_reliability_2018305_aid0001,aid0001,2018-11-01,443824,27663,326.0,5693
_1_km_16_days_pixel_reliability_2018321_aid0001,aid0001,2018-11-17,394194,70845,1003.0,11457
_1_km_16_days_pixel_reliability_2018337_aid0001,aid0001,2018-12-03,341074,68577,50394.0,17437
_1_km_16_days_pixel_reliability_2018353_aid0001,aid0001,2018-12-19,357210,62756,50002.0,8004
_1_km_16_days_pixel_reliability_2019001_aid0001,aid0001,2019-01-01,332146,83873,46866.0,14669
_1_km_16_days_pixel_reliability_2019017_aid0001,aid0001,2019-01-17,341600,66730,58441.0,10883
_1_km_16_days_pixel_reliability_2019033_aid0001,aid0001,2019-02-02,269132,62255,110133.0,36563
_1_km_16_days_pixel_reliability_2019049_aid0001,aid0001,2019-02-18,272245,69140,107333.0,27563
_1_km_16_days_pixel_reliability_2019065_aid0001,aid0001,2019-03-06,347329,46792,71371.0,12087
_1_km_16_days_pixel_reliability_2019081_aid0001,aid0001,2019-03-22,344000,61619,53160.0,18828
_1_km_16_days_pixel_reliability_2019097_aid0001,aid0001,2019-04-07,387578,44809,32894.0,12822
_1_km_16_days_pixel_reliability_2019113_aid0001,aid0001,2019-04-23,403022,47335,20038.0,7709
_1_km_16_days_pixel_reliability_2019129_aid0001,aid0001,2019-05-09,383538,64643,13698.0,16015
_1_km_16_days_pixel_reliability_2019145_aid0001,aid0001,2019-05-25,405972,53752,7917.0,9876
_1_km_16_days_pixel_reliability_2019161_aid0001,aid0001,2019-06-10,418385,47742,1313.0,10607
_1_km_16_days_pixel_reliability_2019177_aid0001,aid0001,2019-06-26,441342,30045,426.0,5381
