File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A2_006__1_km_16_days_NDVI_doy2018177_aid0001,_1_km_16_days_NDVI,aid0001,2018-06-26,477458.0,-0.2,1.0,"(-0.2,1.0)",0.371,0.232,0.0538,0.554,1.0,0.3441,-0.2,0.1465
MOD13A2_006__1_km_16_days_NDVI_doy2018193_aid0001,_1_km_16_days_NDVI,aid0001,2018-07-12,477492.0,-0.2,1.0,"(-0.2,1.0)",0.3701,0.2344,0.0549,0.556,1.0,0.3346,-0.2,0.1501
MOD13A2_006__1_km_16_days_NDVI_doy2018209_aid0001,_1_km_16_days_NDVI,aid0001,2018-07-28,477662.0,-0.2,1.0,"(-0.2,1.0)",0.364,0.2296,0.0527,0.5416,1.0,0.3258,-0.2,0.1533
MOD13A2_006__1_km_16_days_NDVI_doy2018225_aid0001,_1_km_16_days_NDVI,aid0001,2018-08-13,477318.0,-0.2,1.0,"(-0.2,1.0)",0.3577,0.2279,0.0519,0.5272,1.0,0.3189,-0.2,0.1497
MOD13A2_006__1_km_16_days_NDVI_doy2018241_aid0001,_1_km_16_days_NDVI,aid0001,2018-08-29,477107.0,-0.2,1.0,"(-0.2,1.0)",0.3539,0.2224,0.0494,0.5161,1.0,0.3173,-0.2,0.1508
MOD13A2_006__1_km_16_days_NDVI_doy2018257_aid0001,_1_km_16_days_NDVI,aid0001,2018-09-14,477137.0,-0.2,1.0,"(-0.2,1.0)",0.3501,0.2214,0.049,0.5055,1.0,0.3128,-0.2,0.1491
MOD13A2_006__1_km_16_days_NDVI_doy2018273_aid0001,_1_km_16_days_NDVI,aid0001,2018-09-30,477552.0,-0.2,1.0,"(-0.2,1.0)",0.362,0.2325,0.0541,0.5222,1.0,0.3221,-0.2,0.1505
MOD13A2_006__1_km_16_days_NDVI_doy2018289_aid0001,_1_km_16_days_NDVI,aid0001,2018-10-16,477311.0,-0.2,0.9681,"(-0.2,0.9681)",0.3547,0.2255,0.0508,0.5099,0.9681,0.315,-0.2,0.1515
MOD13A2_006__1_km_16_days_NDVI_doy2018305_aid0001,_1_km_16_days_NDVI,aid0001,2018-11-01,477506.0,-0.2,1.0,"(-0.2,1.0)",0.3543,0.2248,0.0505,0.507,1.0,0.3121,-0.2,0.1545
MOD13A2_006__1_km_16_days_NDVI_doy2018321_aid0001,_1_km_16_days_NDVI,aid0001,2018-11-17,477499.0,-0.2,1.0,"(-0.2,1.0)",0.3582,0.2258,0.051,0.5133,1.0,0.323,-0.2,0.1552
MOD13A2_006__1_km_16_days_NDVI_doy2018337_aid0001,_1_km_16_days_NDVI,aid0001,2018-12-03,477482.0,-0.2,1.0,"(-0.2,1.0)",0.3557,0.2406,0.0579,0.5148,1.0,0.3304,-0.2,0.1339
MOD13A2_006__1_km_16_days_NDVI_doy2018353_aid0001,_1_km_16_days_NDVI,aid0001,2018-12-19,477972.0,-0.2,1.0,"(-0.2,1.0)",0.3763,0.2495,0.0622,0.562,1.0,0.3669,-0.2,0.1345
MOD13A2_006__1_km_16_days_NDVI_doy2019001_aid0001,_1_km_16_days_NDVI,aid0001,2019-01-01,477554.0,-0.2,1.0,"(-0.2,1.0)",0.3771,0.2447,0.0599,0.5574,1.0,0.3681,-0.2,0.142
MOD13A2_006__1_km_16_days_NDVI_doy2019017_aid0001,_1_km_16_days_NDVI,aid0001,2019-01-17,477654.0,-0.2,1.0,"(-0.2,1.0)",0.3862,0.2573,0.0662,0.598,1.0,0.385,-0.2,0.1375
MOD13A2_006__1_km_16_days_NDVI_doy2019033_aid0001,_1_km_16_days_NDVI,aid0001,2019-02-02,478083.0,-0.2,1.0,"(-0.2,1.0)",0.3199,0.2513,0.0632,0.5585,1.0,0.2335,-0.2,0.107
MOD13A2_006__1_km_16_days_NDVI_doy2019049_aid0001,_1_km_16_days_NDVI,aid0001,2019-02-18,476281.0,-0.2,1.0,"(-0.2,1.0)",0.3402,0.2478,0.0614,0.5639,1.0,0.2858,-0.2,0.122
MOD13A2_006__1_km_16_days_NDVI_doy2019065_aid0001,_1_km_16_days_NDVI,aid0001,2019-03-06,477579.0,-0.2,0.9468,"(-0.2,0.9468)",0.387,0.2531,0.064,0.6139,0.9468,0.3688,-0.2,0.1531
MOD13A2_006__1_km_16_days_NDVI_doy2019081_aid0001,_1_km_16_days_NDVI,aid0001,2019-03-22,477607.0,-0.2,1.0,"(-0.2,1.0)",0.3967,0.2492,0.0621,0.6248,1.0,0.3819,-0.2,0.1647
MOD13A2_006__1_km_16_days_NDVI_doy2019097_aid0001,_1_km_16_days_NDVI,aid0001,2019-04-07,478103.0,-0.2,1.0,"(-0.2,1.0)",0.4132,0.2523,0.0637,0.6435,1.0,0.4138,-0.2,0.1733
