File,aid,Date,0,1,2,4,5,6
QA_2018177_aid0001,aid0001,2018-06-26,7400,71,5676,15165,975,467468
QA_2018185_aid0001,aid0001,2018-07-04,8588,309,17564,14251,428,455615
QA_2018193_aid0001,aid0001,2018-07-12,10795,201,56425,11748,867,416719
QA_2018201_aid0001,aid0001,2018-07-20,6451,217,18501,16367,496,454723
QA_2018209_aid0001,aid0001,2018-07-28,13519,170,7091,9029,856,466090
QA_2018217_aid0001,aid0001,2018-08-05,6240,196,11737,16579,501,461502
QA_2018225_aid0001,aid0001,2018-08-13,10476,185,11850,12074,879,461291
QA_2018233_aid0001,aid0001,2018-08-21,14541,518,24756,8154,352,448434
QA_2018241_aid0001,aid0001,2018-08-29,4691,108,35097,17756,1054,438049
QA_2018249_aid0001,aid0001,2018-09-06,13691,535,23208,9002,388,449931
QA_2018257_aid0001,aid0001,2018-09-14,3426,112,9211,19014,989,464003
QA_2018265_aid0001,aid0001,2018-09-22,9576,433,26088,13169,404,447085
QA_2018273_aid0001,aid0001,2018-09-30,1858,103,69235,20691,1212,403656
QA_2018281_aid0001,aid0001,2018-10-08,18580,1415,438063,3507,87,35103
QA_2018289_aid0001,aid0001,2018-10-16,2436,71,16304,19947,1173,456824
QA_2018297_aid0001,aid0001,2018-10-24,4052,282,41582,18814,490,431535
QA_2018305_aid0001,aid0001,2018-11-01,4102,119,44062,18490,1065,428917
QA_2018313_aid0001,aid0001,2018-11-09,1740,175,6219,21094,585,466942
QA_2018321_aid0001,aid0001,2018-11-17,7435,326,17091,15451,832,455620
QA_2018329_aid0001,aid0001,2018-11-25,2503,247,47144,20764,729,425368
QA_2018337_aid0001,aid0001,2018-12-03,9721,611,71633,13396,1035,400359
QA_2018345_aid0001,aid0001,2018-12-11,6751,508,97602,16132,679,375083
QA_2018353_aid0001,aid0001,2018-12-19,6918,321,112717,15960,909,359930
QA_2018361_aid0001,aid0001,2018-12-27,3896,405,75625,18894,674,397261
QA_2019001_aid0001,aid0001,2019-01-01,14314,654,29394,8820,524,443049
QA_2019009_aid0001,aid0001,2019-01-09,16638,907,122201,6807,539,349663
QA_2019017_aid0001,aid0001,2019-01-17,5631,308,157123,18028,1207,314458
QA_2019025_aid0001,aid0001,2019-01-25,11249,440,51819,11855,474,420918
QA_2019033_aid0001,aid0001,2019-02-02,9435,636,171575,14462,1747,298900
QA_2019041_aid0001,aid0001,2019-02-10,6687,489,159516,17122,2390,310551
QA_2019049_aid0001,aid0001,2019-02-18,7086,329,26666,16353,1553,444768
QA_2019057_aid0001,aid0001,2019-02-26,14521,1231,161098,9322,1012,309571
QA_2019065_aid0001,aid0001,2019-03-06,4202,333,141144,19153,1083,330840
QA_2019073_aid0001,aid0001,2019-03-14,1816,226,64542,20911,879,408381
QA_2019081_aid0001,aid0001,2019-03-22,3821,317,243736,19374,959,228548
QA_2019089_aid0001,aid0001,2019-03-30,9572,698,27897,14009,537,444042
QA_2019097_aid0001,aid0001,2019-04-07,5506,287,117813,17585,746,354818
QA_2019105_aid0001,aid0001,2019-04-15,8276,189,147470,14550,755,325515
QA_2019113_aid0001,aid0001,2019-04-23,4073,107,19201,18866,573,453935
QA_2019121_aid0001,aid0001,2019-05-01,5644,153,25209,17039,778,447932
QA_2019129_aid0001,aid0001,2019-05-09,14940,562,130217,7987,299,342750
QA_2019137_aid0001,aid0001,2019-05-17,7067,431,126090,16073,732,346362
QA_2019145_aid0001,aid0001,2019-05-25,9458,273,62821,13606,644,409953
QA_2019153_aid0001,aid0001,2019-06-02,13395,266,65786,9325,535,407448
QA_2019161_aid0001,aid0001,2019-06-10,3747,64,28225,19240,656,444823
QA_2019169_aid0001,aid0001,2019-06-18,13899,175,20403,8765,753,452760
QA_2019177_aid0001,aid0001,2019-06-26,9743,278,36340,13182,564,436648
